text,labels
A claim that Sri Lankan students were flown home by Pakistan after they were stranded during the county’s COVID-19 lockdown has been shared on Facebook and WhatsApp.,1
A Muslim man was beaten up because he was infecting fruits with his saliva.,1
The Congress of Deputies -the Spanish lower house- has deleted the income of the MP’s from its website so that no one can see what they are earning in times of alarm and crisis for the coronavirus.,1
It shows an empty waiting room.,1
The person filming says that the government is lying when it says there are COVID-19 patients in the hospital.,1
A video purporting that an attack on doctors was avenged by policemen.,1
"Garlic, onions and other traditional medicine recipes are treatments against the new coronavirus.",1
Gov. Gavin Newsom “has no legal authority” to make wearing face coverings mandatory in California.,1
Image of a couple claimed as activists Peter DeMello and Siraj Bilsara shared in connection with Palghar lynching.,1
WHO has guidelines that encourage child masturbation.,1
"A video of food packets deposited on a street has been viewed millions of times on Facebook, Twitter and YouTube alongside a claim it shows food donations for people in Turkey during a novel coronavirus lockdown.",1
An email from Caixabank asking people to change data related to their account.,1
"An alleged statement from the Mexican Ministry of Health informs that people who are seen outside their home without a work or personal objective regarding the use of a basic need, will be asked for an official identification and will wear a yellow bracelet.",1
A post shared on Facebook and WhatsApp claims that China has sent COVID-19 vaccines to Burundi.,1
Indian Singer Kanika Kapoor was treated in Mumbai Wockhardt Hospital for COVID-19; the hospital was shut down as staff got infected.,1
"In order to take money from PM National Relief Fund (PMNRF), Congress President’s permission is required, that is why PM CARES is created.",1
China released a movie called “Coronavirus” in 2013.,1
There was a riot in a grocery store due to COVID-19.,1
"Death toll in Wuhan due to coronavirus reaches 10,000 people",1
Videos showing black people being attacked by Asian people have been shared thousands of times online in recent weeks.,1
Although Africans living in China have reported discrimination linked to the coronavirus pandemic,1
Footballer Ronaldo is turning his hotels into COVID-19 hospitals.,1
Doctors recommend vitamin C and fennel seed tea to help avoid the novel coronavirus.,1
Muslims are licking their plates to spread coronavirus and infect more people with the virus.,1
"In Kenya, Safaricom gives subscribers Sh2,500 COVID-19 relief.",1
Coronavirus infections are linked to a lack of Vitamin D.,1
WHO warned against consuming cabbage to prevent COVID-19.,1
Goodwill laid off all employees due to COVID-19.,1
A headline alleges that the first pregnant woman with coronavirus gave birth in Macedonia.,1
Pizza Hut has announced that they will give two FREE large pizzas to each family in Mexico.,1
"According to the “Plandemic” documentary, “the actual pandemic comes from the SARS outbreak”.",1
There are 100 children infected with COVID-19 in the main hospital in Lima.,1
Video showing how Italy started a conference reciting the Holy Quran.,1
Netflix gives away free accounts during coronavirus quarantine.,1
Don’t wear clothes with fur collar or fleece material.,1
It is easy to be contaminated by the “Wuhan Virus”.,1
Coronavirus will be exterminated if lockdowns are lifted.,1
The Government of Mexico asks to deposit $ 300 pesos to activate the support card for COVID-19.,1
"Images showing vaccines for coronavirus have already been discovered, were patented and will be readily available.",1
"Kennedy Center, PBS donated to Democrats after getting COVID-19 stimulus money.",1
Biden claims that Trump did not try to get medical experts into China.,1
Video of a train carrying the trucks with essential goods during the current lockdown in India.,1
It’s a “brilliant idea” by Modi’s government.,1
Video of black bucks crossing a road in Kaziranga national park amid COVID-19 lockdown.,1
Lemon and bicarbonate kill the virus.,1
Stores and supermarkets in Veracruz (Mexico) will close due to the new coronavirus.,1
The local government has asked people to buy supplies.,1
The U.S. Occupational Safety and Health Administration (OSHA) says masks don’t work and violate OSHA oxygen levels.,1
The military is coming to Paris because of the coronavirus.,1
"During the protest in the Salamanca district in Madrid, people sang ‘Bella ciao’.",1
Multiple allegations on how to protect oneself from the new coronavirus.,1
"A video has been viewed tens of thousands of times in multiple Facebook, YouTube and Twitter posts alongside a claim it shows the Islamic call to prayer being heard in Spain during the COVID-19 epidemic for the first time in 500 years.",1
A purported emergency notice from Australian authorities has been shared hundreds of times in multiple posts on Facebook and Twitter.,1
It states people can receive free home visits from doctors during the novel coronavirus pandemic.,1
A police officer in Bihar’s Hajipur (India) station contracted coronavirus.,1
Bitter gourd juice can cure coronavirus.,1
A former and controversial CIA officer said coronavirus was made in a lab.,1
"In Turkey, those who do not have disinfectants and masks in their private cars will be fined 3 thousand lira penalty.",1
"The text conveys the Twitter status of Natasha Apostolska from Tetovo (whose father died of corona), in which she claims that during the 28-day self-isolation she did not see a doctor at all, nor was she prescribed any therapy.",1
Aajtak news channel claims that consuming the herbal plant Tulsi will cure coronavirus.,1
"A coronavirus positive patient found in Jamnagar, a city in the state of Gujarat.",1
Italians throwing money on streets amid COVID-19 crisis.,1
"An image in which you see members of the Government, including President Pedro Sánchez, speaking in a ‘circle’ without respecting social distance.",1
Biomagnetic resonance can help to treat COVID-19.,1
Russia released 500 lions to ensure people would stay inside houses.,1
Illuminati controlled U.S. government; coronavirus caused by 5G.,1
Cristiano Ronaldo donated his hotel to be turned into an hospital.,1
Coronavirus detection is possible by holding your breath for 10 seconds,1
Photos purport to show the collapse of a temporary hospital in Wuhan.,1
A “patient tested positive” for the 2019 novel coronavirus (nCoV) at the Makati Medical Center.,1
Video of the Kenyan Government using a Maasai tribe man to impose social distancing in Kenya.,1
Says 44 US senators “voted NOT to send stimulus checks.”,1
"COVID-19 has been shown not to be pneumonia, but thrombosis, so the treatment patients receive is wrong.",1
New York State Governor shows data that proves that isolation is ineffective against COVID-19.,1
Says Democrats are on vacation until May 4 and “refuse to come back” to sign a bill to help small businesses.,1
Povidone Iodine is found to be effective in preventing COVID-19 infection.,1
"“Clearly, the Obama administration did not leave any kind of game plan for something like this.”",1
Indian Telecom company Jio announced a free recharge worth Rs 498 for all Indian citizens during coronavirus lockdown,1
An image of a purported CNN broadcast shared thousands of times in multiple social media posts claims Nigeria’s President Muhammadu Buhari and his chief of staff Abba Kyari tested positive for the novel coronavirus.,1
IndianTelecommunication Department offering free internet services during lockdown to work from home.,1
A Shaheen Bagh protest in India was claimed to have coronavirus.,1
"A picture quotes pharmacist Stefano Montanari saying that wearing protective masks would make people breathe excessive levels of carbon dioxide, leading to respiratory acidosis and cancer.",1
Image of a critically ill COVID-19 infected woman hugging her child for the last time before her death,1
"Kerala, India, minister K.T Jaleel still draws his salary as teacher even after quitting his job 14 years ago.",1
Director of WHO is dancing in a night club in violation of COVID19 guidelines.,1
A picture text circulating on WhatsApp attributed to the Nigeria Centre for Disease Control claims they spent 1 billion naira on SMS notifications to educate Nigerians.,1
"As the US government moved to approve a $2 trillion stimulus package to address the impact of the novel coronavirus outbreak, a short block of text outlining Canada’s alleged response to the outbreak flourished on social media.",1
Over 200 doctors in Italy die every day due to coronavirus.,1
"Video showing Manoj Tiwary, leader of the ruling party of India, voilated lockdown and distributing masks among crowd.",1
Holding your breath for 5 seconds can prevent COVID-19 infection.,1
An audio states that the worst coronavirus crisis in Spain will start on 3/29/20.,1
Cattle vaccine proofs that coronavirus has existed for years and that there already is a vaccine.,1
Photo showing the cattle vaccine produced by the American medical company ScourGuard 4KC.,1
A video of fire is shared with the claim that a fire erupted at Solapur Airport in Maharashtra state due to firecrackers on 4/5/20 at 9p.m.,1
The new coronavirus can be cured by drinking one bowl of freshly boiled garlic water.,1
This text message shows the government is monitoring people leaving the house during coronavirus lockdown.,1
“Anybody that wants a test (for the coronavirus) can get a test.”,1
A claim has circulated on social media that a “new virus” named hantavirus has emerged in China in March 2020.,1
"The posts were viewed hundreds of thousands of times as the world battled the spread of the novel coronavirus, which causes the disease COVID-19.",1
Lion walking in a road and is going to Vaishno Devi shrine during lockdown.,1
Burglars are disguised as health agents to invade and rob apartment buildings in Belo Horizonte and Goiânia.,1
Bill Gates personally will profit from a COVID-19 vaccine and he owns a company that plans to implant microchips in everyone.,1
The WHO is intentionally overestimating the number of deaths from coronavirus.,1
Chlorine dioxide cures the coronavirus.,1
A Facebook post suggests that a scientist in the United States has found a cure for coronavirus.,1
American CDC admitted that coronavirus originated in the U.S. Many COVID-19 patients were misdiagnosed as coronavirus.,1
Image of Indian Muslims praying on rooftops despite complete lockdowns.,1
"Indian Army has built a 1,000-bed quarantine facility for COVID-19.",1
There is a person with coronavirus in Galicia on 2/4/20.,1
Film “Coronavirus” predicted the current pandemic,1
Prevotella bacteria is responsible for COVID-19.,1
Sauna gives protection against COVID-19.,1
"Augusto Heleno, Brazilian general, was cured from the COVID-19 infection using chloroquine.",1
"Cheb Khaled, the king of Algerian Rai, dies in a Paris hospital after he got infected with Covid-19.",1
"Under the mayor’s COVID-19 order, Kansas City “churchgoers must register with the government.”",1
"When you complete a registration for a 5,000 Baht support fund, it will show you a green sign, not a blue sign.",1
Shoes are an important vector for the transmission of coronavirus.,1
President Donald Trump got a Moroccan sheikh (Muslim priest) to put a spell on him that prevents COVID-19.,1
Cristiano Ronaldo will convert his hotels into coronavirus hospitals.,1
Claim that Indian prime minister Modi said one crore (ten million) COVID-19 infected patients have been treated for free.,1
Multiple posts shared with pictures of an aircraft delivering supplies claim to show the delivery of coronavirus vaccines from China to a Nigerian airport.,1
Multiple posts shared repeatedly on Facebook and Twitter claim COVID-19 means “see a sheep surrender” in Latin.,1
5G is being secretly installed in Croatia in the shadow of the coronavirus pandemic.,1
A video of a group of men leaving a mosque has been viewed tens of thousands of times in multiple posts on Facebook and Twitter published in April 2020 alongside a claim it shows Muslims who gathered to pray in the Indian state of Gujarat in defiance of a nationwide COVID-19 lockdown.,1
Australian couple quarantined onboard Diamond Princess cruise reveal wine drone delivery story.,1
A man in Serbia broke the curfew by putting on a tree costume.,1
COVID-19 was stolen from Canada by Chinese spies and accidentally released in Wuhan.,1
Photo shows a man wearing a “government issued Saint Laurent hazardous materials suit.”,1
Madagascar has overcome the new coronavirus.,1
"Ghana’s total confirmed cases of coronavirus is 1,064.",1
The novel coronavirus has been artificially created in a laboratory.,1
COVID-19 is transmitted by farting,1
People can’t use the right of withdrawal at work because of the outbreak.,1
"Consuming magnesium chloride, sodium bicarbonate, ginger and lemon juice prevents coronavirus infection.",1
Saddam Hussein explaining what is coronavirus about.,1
The DNA of new coronavirus was manipulated in a lab.,1
"Video of a burqa-clad Muslim woman being denied a food kit distributed to help people during the current crisis in India due to COVID-19, for being a Muslim.",1
"Sars-CoV-2 is not a virus but a bacterium, and can be treated with apronax and aspirin.",1
"Coronavirus test costs US$3,000 in the U.S.",1
Trump campaign video suggesting Trump’s travel restrictions on China saved 2 million lives.,1
Ginger ale is an effective cure for the 2019 novel coronavirus.,1
Indian Actor Aamir Khan gives Rs.,1
27 patients with coronavirus are in a Rome hospital.,1
The woman shown in this photo holding a baby is COVID-19 positive.,1
A dog vaccine can be used against coronavirus in people.,1
Central Park hospital tents housed thousands of abused children released from underground captivity.,1
The outbreak in Taiwan is out of control.,1
President Tsai ordered a corpse burned in front of the presidential office.,1
COVID-19 cases are “up only because of our big number testing” in the United States.,1
"Facebook and Instagram posts shared thousands of times claim that vaccines directly violate the Nuremberg Code, a set of research ethics principles for human experimentation established after World War II.",1
"COVID-19 is no worse than other outbreaks that have occurred in “every election year,” suggesting that the new coronavirus is being “hyped” to hurt President Donald Trump.",1
Hot lemon juice prevents coronavirus.,1
Multiple videos claim garlic and onions can prevent and cure infection from the novel coronavirus.,1
"“There was no effort” to get American experts into China after it announced the coronavirus, and “we had one person in-country (and President Donald Trump) pulled him out of the country.”",1
WHO warned that the second wave of the pandemic would be “catastrophic”.,1
Satellite images showing high levels of sulphur dioxide above China are possible evidence of mass cremations of people who have died from coronavirus.,1
"Video of a mob in Marabá, Brazil, shouting at a man driving a backhoe.",1
"On the caption, it is stated that this man was opening graves for empty coffins.",1
A person fainted in Cali’s bus terminal because of COVID-19.,1
Is Clinton-Owned Medical Supply Price Gouging During COVID-19 Pandemic?,1
Did ‘The Simpsons’ Predict the Coronavirus Outbreak?,1
Cuba discovered a serum that cures COVID-19.,1
What Really Works to Keep Coronavirus Away?,1
"“If you have had a flu shot in the last 3-5 years, you will probably test positive” for COVID-19.",1
The new coronavirus survives on shoes and other surfaces.,1
Media shows a Florida beach full of people while it’s empty.,1
Photo shows empty COVID-19’s service room at the Military Police Central Hospital in Rio de Janeiro.,1
"Reliance Jio, one of the biggest telecom networks in India, is providing Internet for free during the coronavirus pandemic.",1
NYT invented the video of a doctor fighting coronavirus in hospital.,1
A video shows a Maasai tribe member in Kenya whipping people who violate the country’s curfew during the coronavirus pandemic.,1
A video of an alleged virologist named Judy Mikovits in which she launches numerous theories about the new coronavirus,1
Senegalese people flying back from Italy were killed on the spot at the Senegal airport.,1
A tweet entitled “Risk of novel coronavirus and countermeasures” saying “The virus stays alive for 48 hours.” “,1
The clothes need to be disinfected with alcohol and goggles to prevent corneal infection.” “,1
"Video depicts how the Chinese continue to eat frogs, although it was the eating of wild animals that caused the creation of the corunavirus.",1
"The photo shows a packed beach in Bloemfontein, South Africa, during the country’s coronavirus lockdown.",1
Social media users posted photos of a 2003 Clarin article.,1
They said it is proof that COVID-19 is nothing new.,1
Kenya is the first African country to receive a COVID-19 vaccine from the United Kingdom.,1
A message claimed that Russia released 500 lions on streets to keep people confined to their homes due to Covid-19 outbreak.,1
A video that shows dead bodies being taken away in a convoy of cars is from a hospital in Iran.,1
Mumbai Police congratulated a couple for marrying inside their house amidst the coronavirus lockdown.,1
"In China there is now also an outbreak of the hantavirus, with a first recorded death.",1
News outlets are misusing a boy’s image to report the same child died of COVID-19 in three different countries.,1
A photo purporting to show a man walking through scores of corpses has been shared thousands of times in multiple posts on Facebook alongside a claim it shows that countries with high COVID-19 death tolls are euthanising elderly patients.,1
A photo showing swollen tonsils with white spots is what a throat of a person with COVID-19 that has spread to the lungs and body looks like.,1
This photograph of corpses is related to the coronavirus in Spain.,1
No deaths have been reported in Israel due to COVID-19 because they have found a cure for the disease.,1
"A solution of hot water, baking soda and lemon is the cure for COVID-19.",1
Ecuadorian President Lenin Moreno and family quarantined in luxury Galapagos home.,1
This virus must be old because the label on a bottle of disinfectant from 2015 shows “coronavirus“.,1
COVID-19 is sparing essential workers.,1
A video shows a doctor fainting in the operating room after being infected with the new coronavirus.,1
Burundi had 274 cases of COVID-19 and only one death on April 30.,1
“Corona Virus claims a black belt.,1
Pigs are buried alive due to coronavirus.,1
Consuming large doses of Vitamin C can stop the spread of coronavirus.,1
“Gale of the wind” and “Neem Tree” leaves are good medicine to protect from the coronavirus.,1
Turkey helped Italy with 200.000 masks and other equipment but nobody took notice.,1
A video claims that Bill Gates made a presentation to the CIA on COVID-19 vaccines for modifying the brain of religious fanatics.,1
"A drug called Favipiravir is a cure for coronavirus, and people are advised not to go inside their homes wearing shoes because they can bring the infection home.",1
Italian doctors have confirmed that COVID-19 is a bacterial disease and not caused by a virus as claimed by a number of authorities.,1
"A photo shows the a Turkish imprisoned COVID-19 patient, who is in intensive care unit.",1
Chinese government is killing people who refuse to be evacuated.,1
Coronavirus phase 4 involves war code.,1
A newspaper article stating that the Italian newspaper “Il Fatto Quotidiano” illicitly benefited from public fundings linked to COVID-19.,1
"The director of a major hospital in São Paulo, Brazil, has recommended drinking fennel tea and eating bull’s liver as ways of prevention against COVID-19.",1
"In the United States, there are “360,000 (deaths) a year from swimming pools.",1
But we don’t shut the country down for that.”,1
"A video showing a portable ultraviolet light lamp as a product that “removes” the coronavirus “from your devices, mask, phone” in five seconds.",1
170 milion people have already asked for economical aid from the Brazilian government during COVID-19 pandemic,1
BBMP (Bruhat Bengaluru Mahanagara Palike) will be spraying medicine in the air after 10 PM tonight in order to kill COVID-19.,1
An image claiming that Vladimir Putin said that the United States created coronavirus as a biological weapon.,1
Drinking warm water with lemon protects against the novel coronavirus.,1
"Gargling warm salt water or vinegar prevents coronavirus infection, health experts say.",1
"The Government of Mexico City offers $1,000 weekly if you stay at home.",1
"Brazilian researchers from Manaus, Brazil, used a lethal dose of chloroquine in order to kill patients and cause the medicine to not be used as a medicine in treatment of COVID-19.",1
"In Kenya, the National Council For Persons With Disabilities
 is supporting children during COVID-19.",1
These remarks were made by Spanish Health official Fernando Simón “9 days ago”,1
"300 Monks found positive to COVID-19 in Jaipur, India.",1
Carrefour is selling face masks in its physical stores above the maximum price set by the Government of Spain.,1
"If COVID-19 was a serious illness, it would have wiped out the homeless population in the U.S.",1
Italians are throwing their money on the streets as it is useless to them now during the coronavirus scare.,1
There is a new case of COVID-19 in Sacedón (Spain).,1
Ecuadorean President Lenin Moreno and family quarantined in luxury Galapagos home.,1
Indian state of Madhya Pradesh’s government has issued an order to shoot at sight due to failure at lockdown implementation.,1
Masks hawker was admitted at the Kenyatta National Hospital in Kenya with COVID-19.,1
Posts on social media claim the US Centers for Disease Control and Prevention (CDC) has revised down its death toll for COVID-19.,1
Favipiravir is a miracle cure for COVID-19.,1
Cuban scientists discovered that eucalyptus can help prevent and treat coronavirus.,1
"Coronavirus has killed over 10,000 people (Jan. 30)",1
"France will pay rent, light and gas during quarantine for its citizens.",1
WHO said that asymptomatic patients don’t transmit the new coronavirus.,1
Colombian President Iván Duque was ranked third-best world leader at managing the COVID-19 pandemic,1
Allegations that garlic and a cold shower helps to avoid COVID-19.,1
Israeli scientists at the MIGAL Research Institute have developed a vaccine for COVID-19.,1
The coronavirus can be transmitted through free Fire Game and Xiaomi mobile phones.,1
A viral video post claiming that Ecuador had declared that country had failed in the battled against COVID-19.,1
"Kabataan Representative Sarah Elago said that the lockdown and curfew imposed by President Rodrigo Duterte are against human rights, and that they are now calling for People Power.",1
About 500 lions have been released on the streets of Russia to stop people going out during the coronavirus pandemic.,1
Facebook post claiming that French animal shelters “are overwhelmed by the abandonment of dogs and cats due to the coronavirus”.,1
A COVID-19 test in Germany is 37 times cheaper than in Croatia.,1
Police asked shops selling alcohol to restrict opening hours on St. Patrick’s Day to lower the risk of house parties where coronavirus could be spread.,1
The Sudanese minister did put on a mask while meeting the Chinese ambassador.,1
Image of a 93 year-old man recovered fom COVID-19 in Italy.,1
An Indian politician claimed that the strain of coronavirus in India is a less virulent mutation.,1
"North Carolina’s health department is “telling hospitals that if they decide to do elective surgeries, they won’t be eligible to receive (protective equipment) from the state.”",1
"A photo of a Pakistani chief minister has been shared thousands of times on Facebook alongside a claim it shows him flouting Pakistan’s coronavirus lockdown measures at iftar, a daily evening meal enjoyed by Muslims during the holy month of Ramadan.",1
Coronavirus was created in a lab in China in 2013.,1
"Dolores Cahill claims in an interview on TheHighWire that there is already a preventive strategy and treatment for COVID-19 through “nutrition, vitamins and hydroxychloroquine”, therefore social distancing is unnecessary.",1
You can’t transmit the virus to other people if you don’t feel its symptoms.,1
Drinking or spraying seawater in the throat prevents the coronavirus from replicating.,1
This photo shows the novel coronavirus.,1
US hospitals use mannequins as fake patients that died from COVID-19 to scare and convince people that the disease is deadly.,1
"Video of “the market of terror, where the coronavirus originated”.",1
"Rio de Janeiro’s City Hall revised data after Federal Police operation and decreased 1,177 deaths from official COVID-19 records.",1
The Vatican confirms Pope Francis was infected with coronavirus.,1
Image of a critically ill COVID-19 infected woman hugging her child for the last time before her death.,1
A Filipino scientist has produced a vaccine for COVID-19.,1
Antibiotic azitromycin cures COVID-19.,1
Coronavirus is spreading rapidly on gas pumps.,1
Tokyo is going to be locked down.,1
World Bank classified Brazil as the “best country on COVID-19 combat.”,1
"Russia ordered Covo Organics, controversial drink produced and promoted in Madagascar against COVID-19.",1
"Stocks of “medical masks” made in Woippy, in Moselle, by a company are being blocked for lack of “agreement of the government,” in spite of a shortage of masks in France.",1
The Portuguese soccer player Cristiano Ronaldo decided to turn his hotels into free hospitals,1
A popular YouTube video is claiming coronavirus “numbers are false”: COVID-19 deaths would be deaths by other causes and mortality rate would be a non-issue.,1
"A Twitter user tweeted that there’s community transmission of COVID-19 in Kano, Nigeria.",1
Tips against coronavirus include holding your breath and drinking water.,1
Chloroquine could cure coronavirus.,1
"A video has been viewed thousands of times in multiple posts on Facebook, WhatsApp, Twitter and YouTube alongside a claim it shows a Muslim man spitting at Indian police officers after being detained over scuffles at a coronavirus quarantine centre in April 2020.",1
A viral video apparently showing Muslim devotees sneezing is circulated with the claim that it is from Nizamuddin mosque of Delhi and they are deliberately trying to get infected in order to spread coronavirus in India.,1
"President of Madagascar Andry Rajoelina claimed that China and the US asked to pay him for poisoning Covid-Organics, its drink against COVID-19.",1
A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered.,1
The viral forward also claims that the treatment for coronavirus is mentioned in India’s Intermediate Zoology book.,1
"The coronavirus “snuck up on us,” adding that it is “a very unforeseen thing.”",1
“People´s scientist” found that coronavirus is a bioweapon mixing SARS and HIV.,1
Thailand is successfully curing coronavirus patients with marijuana.,1
CDC issued facial hair recommendation for novel coronavirus prevention.,1
"A deer can be seen playing on a beach, user has claimed that this happened during the coronavirus lockdown in India.",1
Text claims that COVID-19 has existed since December in Macedonia.,1
This map shows high sulphur dioxide in Wuhan now due to the burning of corpses.,1
China constructed a hospital for the new coronavirus in 48 hours.,1
"“The coronavirus is the common cold, folks.”",1
The use or abuse of masks can cause hypoxia.,1
Pregnant mothers are more likely to contract COVID-19.,1
A photo of a woman lying in a hospital bed with medical equipment attached to her body has been shared hundreds of times on Facebook and Twitter alongside claims that the woman was a doctor who died after being beaten by a Muslim mob while trying to administer novel coronavirus tests.,1
Pennsylvania’s governor breaking his own social distancing rules in a photo.,1
"The WHO reported that coronavirus lasts up to 8 hours on cabbages; thus, cabbage consumption should be restricted.",1
"The Head of Government of the City of Buenos Aires, Horacio Rodríguez Larreta said: “With Macri half a country was going to die, this government knows how to do things well”.",1
"If you drink water with lemon, it prevents the new coronavirus.",1
A video showed US President Trump had a psychic in the White House to pray that the COVID-19 pandemic will cease soon.,1
Deaths blamed on coronavirus are actually due to the flu.,1
A claim that neem leaves can cure the novel coronavirus and relieve its symptoms has been shared thousands of times in multiple Facebook posts.,1
Whether 60 Democrats voted against coronavirus stimulus bill.,1
"“While all COVID-19 news has been going on, the U.S. government has been sneakily trying to remove end-to-end encryption” which means “the government will be able to see all of your messages and listen to all of your calls.”",1
Did Dolphins and Swans ‘Return’ to Italian Waterways Amid COVID-19 Lockdown?,1
An image with human body figurines in a bowl that claims China is serving human baby soup in its restaurants.,1
The atheist Italian doctor Julian Urban and his colleagues have converted to Christianity in the wake of the COVID-19 crisis.,1
China builds a hospital for coronavirus patients in 48 hours.,1
This viral photo is the photo of COVID-19 infected person’s throat.,1
Audio from WhatsApp that says there are a doctor and two nurses hospitalized on the ICU in Terrassa (Barcelona),1
"99% of all COVID-19 patients in Itaperuna, Rio de Janeiro state, have been cured after being treated with chloroquine.",1
Single source’ Muslims are spreading coronavirus by leaving money strewn on the streets.,1
President of Italy crying because of the coronavirus pandemic.,1
Cuba sent 200.000 doctors across the world to help nations fighting against the COVID-19 pandemic.,1
A video shows a very large crowd demonstration in the city of Chemnitz; it is claimed that the people are demonstrating against the lockdown.,1
A video showed that the brutal Indian authorities buried COVID-19 patients alive.,1
New data shows that 21 million Chinese died from the coronavirus.,1
"White South Africans are banned from getting COVID-19 government aid, says the headline of a news article.",1
The article draws attention to a civil society group raising funds to buy groceries and other supplies for poor white communities in South Africa affected by the COVID-19 pandemic.,1
"A message from Brazilian Workers’ Party (PT), Gleisi Hoffmann, asking party affiliates to boycott the 600 reais monthly COVID-19 emergency allowance.",1
"Eligible PT voters should reject it and denounce it, since it is being paid by a “fascist government.”",1
Five foods that help you avoid the coronavirus,1
Here’s the new certificate that the Ministry of the Interior is now requesting from citizens in order to leave their house.,1
37 died in a day in NYC (3/10/20).,1
Three photos have been shared hundreds of times in multiple posts on Facebook and Twitter alongside a claim they show improved air quality in the Sri Lankan capital of Colombo during a nationwide curfew implemented due to the coronavirus pandemic.,1
"João Doria, governor of São Paulo, said CoronaVac, the Chinese vaccine that will be tested in Brazil, will be tested only on elderly people, who will receive 1.5 thousand reais (around 250 American dollars).",1
"The World Health Organization began in May to discourage the use of masks in public spaces, concluding that the coronavirus is not transmitted by air.",1
The fellowship of National Taiwan University Hospital suggested the symptoms of critically ill patients with COVID-19 is like the combination of SARD and AIDS.,1
Even discharged patients could be a long-term asymptomatic carriers.,1
Did Pat Robertson Blame Oral Sex for COVID-19?,1
A claim that 500 body bags were delivered to an ice skating rink outside the Australian city of Adelaide has been shared widely on Facebook during the novel coronavirus pandemic.,1
Face masks can be steamed for reuse.,1
Belgium’s health minister banned sex inside or with 3 or more people.,1
People with type A blood are more prone to get the new coronavirus.,1
The US hospitals inflate the number of COVID-19 cases and deaths so they can receive more money.,1
Two men identified as “the owner of Carrefour” supermarkets in Brazil in videos where they criticized lockdown measures.,1
COVID-19 is cured by gargling hot bicarbonate.,1
The departament of Guaviare in Colombia has 10 cases of coronavirus.,1
"Spiritual leader cuts off tongue of a young girl as an act of sacrifice to ward off COVID in Banda, Uttar Pradesh, India.",1
"Video of stone-pelting by people when health officials went to trace the Nizamuddin guys in Indore, MP.",1
